3,2,3,0,3,1,1,3,2,1,0,2,1,3,1,1,0,3,0,1
1,44,45,46,47,2,0,0,44,45,46,47,3,2,2,44,45,46,47,0
2,60,61,62,63,2,0,0,60,61,62,63,3,3,0,60,61,62,63,1
3,76,77,78,79,2,2,0,76,77,78,79,3,2,1,76,77,78,79,2
1,92,93,94,95,2,3,2,92,93,94,95,1,3,3,92,93,94,95,3
3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1,20,21,7,37,37,37,37,37,8,21,7,37,37,37,37,37,37,37,37
3,20,21,22,3,1,3,2,2,20,21,22,0,1,0,44,45,46,47,2
0,20,21,22,3,3,2,1,3,20,21,22,1,2,1,60,61,62,63,0
0,20,21,22,0,2,0,2,1,20,21,22,3,0,2,76,77,78,79,3
1,20,21,23,5,5,5,5,5,24,21,23,5,5,6,92,93,94,95,2
0,20,21,21,21,21,21,21,21,21,21,21,21,21,22,0,1,1,1,0
0,20,21,7,37,37,37,37,37,8,21,7,37,37,38,1,2,3,0,3
3,20,21,22,1,0,0,2,3,20,21,22,0,3,2,3,1,0,1,0
